Symbol,ETF Name,Asset Class,Total Assets ($MM),YTD Price Change,Avg. Daily Share Volume (3mo),Previous Closing Price
VOO,Vanguard S&P 500 ETF,Equity,"$654,371",0.90%,"8,827,717",$541.76
SPY,SPDR S&P 500 ETF Trust,Equity,"$601,099",0.87%,"81,642,922",$589.39
IVV,iShares Core S&P 500 ETF,Equity,"$580,170",0.90%,"8,123,069",$592.15
VTI,Vanguard Total Stock Market ETF,Equity,"$471,675",0.37%,"4,451,999",$289.88
QQQ,Invesco QQQ Trust Series I,Equity,"$333,917",1.69%,"52,964,773",$519.11
VUG,Vanguard Growth ETF,Equity,"$163,917",0.79%,"1,748,089",$413.14
VEA,Vanguard FTSE Developed Markets ETF,Equity,"$156,982",16.76%,"14,507,703",$55.58
IEFA,iShares Core MSCI EAFE ETF,Equity,"$138,404",17.47%,"13,195,900",$82.56
VTV,Vanguard Value ETF,Equity,"$132,761",1.82%,"3,232,825",$171.39
BND,Vanguard Total Bond Market ETF,Bond,"$126,535",2.49%,"6,988,239",$72.77
AGG,iShares Core U.S. Aggregate Bond ETF,Bond,"$123,486",2.55%,"8,953,433",$98.10
IWF,iShares Russell 1000 Growth ETF,Equity,"$105,049",-0.43%,"1,965,208",$399.43
GLD,SPDR Gold Shares,Commodity,"$98,688",25.39%,"12,219,972",$303.60
IJH,iShares Core S&P Mid-Cap ETF,Equity,"$91,906",-3.38%,"11,591,058",$60.04
VXUS,Vanguard Total International Stock ETF,Equity,"$91,455",13.93%,"4,817,901",$66.94
VIG,Vanguard Dividend Appreciation ETF,Equity,"$88,631",1.56%,"1,324,822",$197.93
IEMG,iShares Core MSCI Emerging Markets ETF,Equity,"$88,185",8.56%,"12,136,269",$56.69
VGT,Vanguard Information Technology ETF,Equity,"$86,734",-2.36%,"764,336",$606.37
VWO,Vanguard FTSE Emerging Markets ETF,Equity,"$85,824",6.82%,"10,494,401",$47.00
VO,Vanguard Mid-Cap ETF,Equity,"$79,367",2.74%,"983,491",$270.16
IJR,iShares Core S&P Small-Cap ETF,Equity,"$76,804",-8.27%,"5,624,930",$105.37
XLK,Technology Select Sector SPDR Fund,Equity,"$72,182",-0.52%,"6,344,575",$230.91
IBIT,iShares Bitcoin Trust ETF,Currency,"$71,309",12.08%,"46,309,895",$59.46
RSP,Invesco S&P 500® Equal Weight ETF,Equity,"$70,959",1.17%,"10,073,018",$176.43
SCHD,Schwab US Dividend Equity ETF,Equity,"$67,649",-3.35%,"18,769,170",$26.17
SPLG,SPDR Portfolio S&P 500 ETF,Equity,"$67,252",0.89%,"11,986,672",$69.33
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,"$67,131",0.35%,"2,610,814",$128.70
BNDX,Vanguard Total International Bond ETF,Bond,"$65,721",1.65%,"4,467,436",$49.45
IWM,iShares Russell 2000 ETF,Equity,"$62,911",-6.98%,"36,142,871",$205.07
EFA,iShares MSCI EAFE ETF,Equity,"$62,702",17.46%,"17,178,189",$88.81
VB,Vanguard Small Cap ETF,Equity,"$61,115",-4.65%,"1,244,228",$228.19
IWD,iShares Russell 1000 Value ETF,Equity,"$60,616",2.32%,"2,716,192",$188.62
VYM,Vanguard High Dividend Yield Index ETF,Equity,"$58,478",1.79%,"1,393,277",$129.02
IVW,iShares S&P 500 Growth ETF,Equity,"$56,325",2.13%,"2,757,378",$103.58
SCHX,Schwab U.S. Large-Cap ETF,Equity,"$53,503",0.80%,"14,061,188",$23.30
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Bond,"$53,014",3.36%,"8,296,836",$81.72
QUAL,iShares MSCI USA Quality Factor ETF,Equity,"$50,661",-0.35%,"1,761,755",$177.06
TLT,iShares 20+ Year Treasury Bond ETF,Bond,"$50,086",0.18%,"42,736,094",$86.28
XLF,Financial Select Sector SPDR Fund,Equity,"$49,505",5.82%,"52,328,738",$50.96
QQQM,Invesco NASDAQ 100 ETF,Equity,"$48,136",1.73%,"3,332,489",$213.75
SGOV,iShares 0-3 Month Treasury Bond ETF,Bond,"$47,254",1.75%,"12,785,217",$100.71
SCHF,Schwab International Equity ETF,Equity,"$47,232",16.59%,"11,728,136",$21.57
IAU,iShares Gold Trust,Commodity,"$45,816",25.55%,"9,146,221",$62.16
VT,Vanguard Total World Stock ETF,Equity,"$45,561",5.35%,"2,498,055",$123.37
IXUS,iShares Core MSCI Total International Stock ETF,Equity,"$44,267",14.02%,"3,198,794",$75.41
